Project,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
csv,440,25,25,50,25,25,25,25,25,26,195
cli,378,28,23,51,28,28,28,28,28,28,175
codec,1088,57,57,114,59,59,57,57,57,62,452
text,1499,80,80,160,77,77,80,80,80,84,675
jsoup,816,31,31,62,32,32,31,31,31,32,418
scxml,499,52,52,107,52,52,52,52,52,52,302
email,218,15,14,29,14,14,15,15,15,15,125
marine-api,1372,77,73,150,77,77,77,77,77,79,962
crypto,136,17,17,34,17,17,17,17,17,29,79
graph,228,21,21,42,21,21,21,21,21,21,105
xmlgraphics-commons,502,61,61,123,61,61,61,61,61,62,295
Java-monitoring-client-library,203,17,17,34,17,17,17,17,17,17,67
unix4j,180,14,14,28,14,14,14,14,14,14,61
math,406,32,32,64,31,31,32,32,32,32,264
fileupload,127,13,13,26,13,13,13,13,13,14,61